"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6286974184351","14.7909133231296","14.7754224299635","14.6082794090715","14.2691091356781","14.1325748800858","14.1024568395325","14.1881618255215","14.3418242215618","14.3597516435127","14.3065361012173","14.3077457951371","14.3333831834604","14.0789653596733","13.8670810011358","13.7106030566701","13.5960822698129","13.5536457701835","13.7769484603299","15.0813657169976","14.4882441675195","14.2867769221896","14.0493314814868","13.8719019853461","13.6103334619827","13.7231809291834","13.7045185870745","13.5535603942399","13.8773018827563","14.7464922387103","14.8379368405289","13.960495981224","14.1339703736452",
"Afghanistan","AFG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2","10.195","10.2","10.204","10.204","10.201","10.204","10.214","10.219","10.221","10.217","10.206","10.194","10.184","10.176","10.177","10.172","10.165","10.148","10.133","10.115","10.098","10.092","10.086","12.507","14.909","17.303","16.547","15.776","16.053","16.506","17.841","19.798",
"Africa Western and Central","AFW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.53235492294535","8.66241421434831","8.93130586194876","8.98518317453534","9.0134784720736","8.86667823762916","8.79056040758247","8.79905036030762","9.14303147339295","9.20894518636789","9.10743977382455","8.74548706204847","8.64800131527021","8.56369610293838","8.71113585290719","8.60097925038727","8.58480037012622","8.60412364440311","8.64417528940677","8.6065858190215","8.54068531886329","8.53801837517405","8.09224781475279","8.35138133209751","8.78986330335043","8.76794289807589","8.96086139913426","9.06420801686132","9.11404174989182","9.59693780550276","8.27495124669487","6.64833340866481","6.54580157981713",
"Angola","AGO","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.671","39.088","40.357","40.411","39.251","37.175","36.845","37.377","37.993","38.241","38.229","37.592","37.608","37.28","37.254","36.79","36.649","36.897","37.54","38.142","38.553","37.211","36.3","35.327","34.795","34.236","33.529","32.682","31.644","32.498","29.991","28.009","27.628",
"Albania","ALB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.118","47.025","39.741","32.963","23.234","22.202","26.893","32.033","33.374","30.557","29.893","28.809","27.531","26.605","26.231","25.858","26.622","26.553","27.324","30.885","22.733","28.987","31.318","39.744","39.874","36.172","31.403","28.305","27.161","30.756","29.691","28.2","26.94",
"Andorra","AND","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9160585601486","25.1965791227309","26.9335294861194","27.1625551832609","27.7842509300419","25.6726845485797","24.6526615845193","24.6190526462052","24.3354791263675","26.1158216447625","26.7145785493886","26.5476803174348","27.1257678859856","25.7549865054036","26.1182699794944","25.1505046908158","23.8534311805312","23.938676578486","22.7147429216904","23.2944098011553","25.4090212601855","27.8257921276805","28.0137567383175","27.9185738135095","29.5546772423286","29.2333837396884","30.3332813066848","29.0768093478285","27.8435278764833","30.2974177419441","29.3895066563227","27.0604542858278","27.3683461618983",
"United Arab Emirates","ARE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.917","4.027","4.23","4.243","4.285","4.423","4.497","4.659","4.817","4.947","5.423","5.981","6.636","7.2","7.72","7.123","6.606","6.171","6.167","6.063","5.923","5.655","5.455","5.307","5.074","4.849","7.156","6.662","7.405","14.119","10.493","9.895","9.835",
"Argentina","ARG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.626","13.781","22.14","25.724","40.628","36.972","32.189","27.68","30.502","32.357","37.115","41.554","32.983","29.55","26.221","23.79","20.243","18.932","21.198","19.369","18.716","18.343","19.557","19.132","20.266","21.778","22.831","23.83","25.812","30.407","23.37","18.979","18.822",
"Armenia","ARM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.797","2.011","5.876","7.427","7.427","10.258","11.918","10.511","12.631","12.483","12.338","12.175","12.018","11.883","11.751","11.626","11.495","12.778","14.096","15.416","16.732","17.994","19.352","20.766","22.256","23.788","25.384","26.986","24.614","23.765","22.361","19.015","18.645",
"American Samoa","ASM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.478","19.254","18.529","16.868","15.182","15.638","15.839","14.446","13.119","12.081","13.48","12.791","11.956","11.361","10.625","10.029","9.362","8.81","11.464","11.536","11.36","11.737","12.218","13.306","13.111","12.635","12.592","11.786","11.753","14.204","11.228","8.233","8.285",
"Austria","AUT","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.715","4.129","4.66","4.965","5.914","6.837","7.56","7.482","5.925","6.292","6.011","7.142","7.43","11.011","11.183","10.057","9.608","8.732","10.904","9.672","9.183","9.569","9.778","10.511","10.921","11.429","9.983","9.568","8.777","10.326","12.051","10.35","10.436",
"Azerbaijan","AZE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.674","3.341","8.348","11.705","13.409","15.128","17.042","18.782","20.479","22.121","22.092","21.591","18.943","18.199","15.277","14.621","13.389","13.67","13.614","14.559","14.414","13.896","13.388","13.287","13.208","12.797","12.319","11.622","11.402","15.119","14.463","13.583","13.609",
"Burundi","BDI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.928","3.971","4.057","4.03","4.061","4.063","3.994","3.921","3.97","3.96","3.923","3.894","3.951","3.887","3.931","3.89","3.047","2.126","2.205","2.286","2.4","2.532","2.7","2.926","2.757","2.496","2.246","1.994","1.742","1.693","1.773","1.709","1.589",
"Belgium","BEL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.954","13.204","18.453","21.896","21.552","20.49","21.284","20.402","22.6","15.252","15.345","15.652","18.969","17.494","21.471","20.505","18.825","17.975","21.935","22.391","18.733","19.743","23.704","23.202","22.12","20.095","19.277","15.767","14.265","15.329","18.208","16.441","14.486",
"Benin","BEN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.772","1.686","1.645","1.586","1.458","1.388","1.258","1.193","1.095","1.006","0.908","0.827","0.987","1.137","1.318","1.463","1.593","1.692","1.883","2.141","5.461","5.155","4.728","4.401","4.386","4.397","4.254","3.867","3.74","4.318","4.337","3.931","3.752",
"Burkina Faso","BFA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.792","3.845","3.722","3.945","3.914","3.819","3.798","3.875","4.034","4.229","4.311","4.479","4.344","5.464","6.309","5.794","5.224","5.571","5.955","5.998","6.201","6.28","6.65","7.015","7.375","7.592","7.711","7.78","7.813","8.689","8.659","8.249","8.15",
"Bangladesh","BGD","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.615","5.773","5.934","6.093","6.254","6.433","7.215","8.014","8.832","9.67","8.804","7.774","6.609","7.732","8.809","7.281","8.121","8.911","9.636","6.373","7.528","8.694","9.881","10.286","10.679","11.051","12.219","12.274","12.344","14.467","14.21","12.541","12.266",
"Bulgaria","BGR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.648","29.718","32.057","25.217","22.039","24.996","27.484","24.673","28.5","33.242","39.056","35.59","27.017","24.455","22.332","19.511","15.141","12.766","16.226","21.942","25.055","28.127","28.409","23.796","21.669","17.234","12.932","12.685","8.897","14.205","15.847","10.765","10.445",
"Bahrain","BHR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.04","3.855","3.574","3.826","3.853","4.028","3.954","3.958","4.006","4.041","4.201","4.342","4.361","4.168","4.005","4.027","4.118","4.337","4.693","4.96","5.275","5.402","5.428","5.361","5.322","5.397","5.487","5.583","5.665","6.548","6.636","5.894","5.759",
"Bahamas, The","BHS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.739","27.085","23.151","25.246","20.979","24.129","22.581","15.881","15.66","15.469","15.025","20.124","24.422","21.615","20.213","16.434","19.02","17.152","26.251","26.83","27.282","30.733","34.84","29.195","24.942","25.937","21.562","24.241","24.283","29.973","27.447","25.139","23.795",
"Bosnia and Herzegovina","BIH","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.605","36.74","38.893","40.667","42.092","43.306","44.783","46.452","48.308","50.204","52.28","54.182","56.193","58.097","60.11","62.1","58.359","47.581","48.94","57.942","58.055","63.486","59.808","63.373","63.15","55.099","46.518","39.453","34.102","37.052","35.332","31.893","29.81",
"Belarus","BLR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.074","5.518","15.056","22.547","31.097","42.935","30.252","24.868","22.728","21.572","20.389","19.167","17.961","16.732","15.536","14.361","13.229","12.084","10.979","10.949","10.94","10.906","10.897","10.866","10.83","10.775","9.382","10.685","10.24","12.078","10.485","10.269","9.916",
"Belize","BLZ","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7","18.855","19.016","21.296","23.96","26.546","25.02","28.217","25.742","21.925","18.512","20.323","20.995","21.512","22.134","19.019","17.209","16.515","16.783","16.941","16.981","16.931","16.924","18.293","16.507","16.585","15.736","17.935","19.854","22.148","19.865","17.926","17.278",
"Bermuda","BMU","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.836","4.917","4.94","4.975","4.412","3.948","3.478","3.653","3.947","4.262","4.581","4.726","4.93","5.049","5.184","5.189","5.416","5.578","5.218","5.161","5.121","3.37","5.371","4.608","6.806","6.761","6.637","6.753","6.976","15.376","8.451","6.265","7.175",
"Brazil","BRA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.466","11.772","11.363","12.302","13.202","14.555","16.557","19.183","20.579","20.285","19.986","20.538","21.298","19.944","21.296","19.792","18.69","17.432","19.64","18.108","16.783","15.776","15.643","15.45","19.437","26.519","28.504","27.883","27.044","30.221","28.261","20.679","17.743",
"Barbados","BRB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.686","41.903","43.64","41.862","37.907","27.941","30.139","24.368","22.359","20.793","22.966","22.93","25.846","22.554","21.224","20.453","17.362","19.005","23.572","25.251","26.724","28.709","28.998","32.808","28.65","26.124","26.033","24.046","25.516","29.52","27.964","26.096","24.559",
"Brunei Darussalam","BRN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.102","14.539","14.913","15.233","15.497","15.698","15.864","16.004","16.133","16.274","16.444","16.758","17.127","17.562","18.068","18.629","19.258","19.944","20.684","21.434","22.201","22.924","23.671","24.397","26.225","27.973","29.652","31.453","20.448","27.351","16.456","16.72","16.643",
"Bhutan","BTN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.263","4.288","4.316","4.34","4.367","4.368","4.369","4.37","4.312","4.987","5.663","5.503","5.349","7.406","9.315","9.476","11.334","11.872","12.43","8.788","8.914","6.984","9.39","9.023","10.114","11.716","13.417","15.222","11.575","21.997","20.585","29.608","29.446",
"Botswana","BWA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.191","28.99","32.606","36.226","36.288","36.361","36.817","38.148","34.793","31.823","38.843","43.183","46.73","41.381","36.596","31.709","31.292","31.116","32.158","34.845","34.9","34.258","34.392","34.615","35.021","35.35","35.514","34.996","35.285","41.54","44.485","43.523","43.609",
"Central African Republic","CAF","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.102","11.372","11.548","11.608","11.485","11.365","11.242","11.17","11.148","11.035","11.092","11.06","11.027","10.803","10.712","10.523","10.442","10.298","10.516","10.777","10.565","10.404","10.392","10.488","10.689","10.714","10.766","10.507","10.604","11.851","11.836","10.899","10.76",
"Canada","CAN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.854","17.229","17.199","15.92","14.851","15.42","16.269","15.156","14.06","12.685","12.879","13.625","13.631","13.471","12.416","11.638","11.069","11.404","15.097","14.621","13.96","14.094","13.276","13.239","12.801","12.634","11.269","10.754","10.773","20.165","13.577","10.109","10.563",
"Central Europe and the Baltics","CEB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8541756395986","22.8579762101919","25.0734794063252","24.9437654177686","23.6822381580865","22.5927433294924","20.049297142235","19.6787364823962","23.8582858922671","27.0180967663007","28.9722437190776","30.1452112579235","29.3008850417644","29.2983440317198","27.2561545138874","23.8065771118865","18.7180998358688","16.7241903425313","21.6115443314561","24.4785818358874","25.5915978196205","26.2604677289609","26.6636301126957","23.4609440348381","20.7247585463038","17.696476640562","14.9888847584929","12.6901436018486","11.6337855842452","13.607143977703","14.8937140492652","13.6814756682673","14.2223296436711",
"Switzerland","CHE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.275","3.006","5.837","5.559","4.642","4.65","5.997","5.776","5.652","4.817","5.63","5.579","8.51","7.719","8.771","7.694","7.08","7.014","8.451","8.224","7.731","8.319","8.753","8.605","8.822","8.581","8.062","7.927","7.986","8.603","8.828","7.497","6.725",
"Channel Islands","CHI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.577","11.87","14.566","15.037","15.334","15.353","14.652","13.193","12.48","10.651","10.553","11.106","12.424","13.146","13.091","12.165","11.259","11.72","15.982","16.816","17.699","20.131","21.193","20.394","18.842","17.456","15.807","14.032","13.797","15.859","15.633","13.345","13.208",
"Chile","CHL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.873","10.243","10.518","12.813","10.753","17.838","17.557","17.833","25.302","24.687","24.505","24.946","24.69","24.483","23.37","22.066","21.612","23.738","26.693","19.09","17.943","16.76","16.669","17.027","16.085","16.009","17.139","18.036","19.529","24.447","20.462","18.299","21.645",
"China","CHN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.366","4.434","5.121","5.626","5.924","6.262","6.567","6.668","6.764","6.835","7.986","8.907","9.609","9.417","9.481","9.319","9.215","9.795","10.144","9.82","9.981","10.167","10.337","10.533","10.712","10.61","10.471","9.711","10.726","12.715","12.414","14.85","15.9",
"Cote d'Ivoire","CIV","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.739","8.851","7.777","6.718","5.51","5.48","5.43","5.655","6.088","6.639","7.123","7.549","8.004","8.126","8.295","8.325","8.686","8.834","9.089","9.153","9.83","9.951","6.272","4.617","3.326","2.036","5.172","4.556","3.949","4.411","4.395","4.069","3.977",
"Cameroon","CMR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.536","13.625","13.758","13.346","12.93","12.12","11.817","11.575","11.434","11.352","11.246","10.109","8.895","7.658","6.623","5.585","4.554","5.087","5.683","6.307","6.308","6.264","6.223","6.177","6.166","6.203","6.297","6.375","6.431","7.145","7.088","6.606","6.46",
