Country name;Country Code;Indicator Name;Indicator Code;Year;Value
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;
Aruba;ABW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;14,6286974184351
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;14,7909133231296
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;14,7754224299635
